"Area,""Area Id"",""Variable Name"",""Variable Id"",""Year"",""Value"",""Symbol"",""Md"""	
"Brazil,21,""Surface water: inflow not submitted to treaties"",4160,2002,2986.0,"""","""","""""	
"Brazil,21,""Surface water: inflow not submitted to treaties"",4160,2007,2986.0,"""","""","""""	
"Brazil,21,""Surface water: inflow not submitted to treaties"",4160,2012,2986.0,"""","""","""""	
"Brazil,21,""Surface water: inflow not submitted to treaties"",4160,2017,2986.0,"""","""","""""	
"Brazil,21,""Surface water: inflow submitted to treaties"",4161,1962,0.0,"""","""","""""	
"Brazil,21,""Surface water: inflow submitted to treaties"",4161,1967,0.0,"""","""","""""	
"Brazil,21,""Surface water: inflow submitted to treaties"",4161,1972,0.0,"""","""","""""	
"Brazil,21,""Surface water: inflow submitted to treaties"",4161,1977,0.0,"""","""","""""	
"Brazil,21,""Surface water: inflow submitted to treaties"",4161,1982,0.0,"""","""","""""	
"Brazil,21,""Surface water: inflow submitted to treaties"",4161,1987,0.0,"""","""","""""	
"Brazil,21,""Surface water: inflow submitted to treaties"",4161,1992,0.0,"""","""","""""	
"Brazil,21,""Surface water: inflow submitted to treaties"",4161,1997,0.0,"""","""","""""	
"Brazil,21,""Surface water: inflow submitted to treaties"",4161,2002,0.0,"""","""","""""	
"Brazil,21,""Surface water: inflow submitted to treaties"",4161,2007,0.0,"""","""","""""	
"Brazil,21,""Surface water: inflow submitted to treaties"",4161,2012,0.0,"""","""","""""	
"Brazil,21,""Surface water: inflow submitted to treaties"",4161,2017,0.0,"""","""","""""	
"Brazil,21,""Surface water: inflow secured through treaties"",4162,1962,0.0,"""","""","""""	
"Brazil,21,""Surface water: inflow secured through treaties"",4162,1967,0.0,"""","""","""""	
"Brazil,21,""Surface water: inflow secured through treaties"",4162,1972,0.0,"""","""","""""	
"Brazil,21,""Surface water: inflow secured through treaties"",4162,1977,0.0,"""","""","""""	
"Brazil,21,""Surface water: inflow secured through treaties"",4162,1982,0.0,"""","""","""""	
"Brazil,21,""Surface water: inflow secured through treaties"",4162,1987,0.0,"""","""","""""	
"Brazil,21,""Surface water: inflow secured through treaties"",4162,1992,0.0,"""","""","""""	
"Brazil,21,""Surface water: inflow secured through treaties"",4162,1997,0.0,"""","""","""""	
"Brazil,21,""Surface water: inflow secured through treaties"",4162,2002,0.0,"""","""","""""	
"Brazil,21,""Surface water: inflow secured through treaties"",4162,2007,0.0,"""","""","""""	
"Brazil,21,""Surface water: inflow secured through treaties"",4162,2012,0.0,"""","""","""""	
"Brazil,21,""Surface water: inflow secured through treaties"",4162,2017,0.0,"""","""","""""	
"Brazil,21,""Surface water: total flow of border rivers"",4165,1962,0.0,"""","""","""""	
"Brazil,21,""Surface water: total flow of border rivers"",4165,1967,0.0,"""","""","""""	
"Brazil,21,""Surface water: total flow of border rivers"",4165,1972,0.0,"""","""","""""	
"Brazil,21,""Surface water: total flow of border rivers"",4165,1977,0.0,"""","""","""""	
"Brazil,21,""Surface water: total flow of border rivers"",4165,1982,0.0,"""","""","""""	
"Brazil,21,""Surface water: total flow of border rivers"",4165,1987,0.0,"""","""","""""	
"Brazil,21,""Surface water: total flow of border rivers"",4165,1992,0.0,"""","""","""""	
"Brazil,21,""Surface water: total flow of border rivers"",4165,1997,0.0,"""","""","""""	
"Brazil,21,""Surface water: total flow of border rivers"",4165,2002,0.0,"""","""","""""	
"Brazil,21,""Surface water: total flow of border rivers"",4165,2007,0.0,"""","""","""""	
"Brazil,21,""Surface water: total flow of border rivers"",4165,2012,0.0,"""","""","""""	
"Brazil,21,""Surface water: total flow of border rivers"",4165,2017,0.0,"""","""","""""	
"Brazil,21,""Surface water: accounted flow of border rivers"",4168,1962,0.0,"""","""","""""	
"Brazil,21,""Surface water: accounted flow of border rivers"",4168,1967,0.0,"""","""","""""	
"Brazil,21,""Surface water: accounted flow of border rivers"",4168,1972,0.0,"""","""","""""	
"Brazil,21,""Surface water: accounted flow of border rivers"",4168,1977,0.0,"""","""","""""	
"Brazil,21,""Surface water: accounted flow of border rivers"",4168,1982,0.0,"""","""","""""	
"Brazil,21,""Surface water: accounted flow of border rivers"",4168,1987,0.0,"""","""","""""	
"Brazil,21,""Surface water: accounted flow of border rivers"",4168,1992,0.0,"""","""","""""	
"Brazil,21,""Surface water: accounted flow of border rivers"",4168,1997,0.0,"""","""","""""	
