,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR’s mandate,Asylum-seekers,IDPs of concern to UNHCR,Venezuelans displaced abroad,Stateless persons,Others of concern
215,2017,Brazil,BRA,Costa Rica,CRI,0,5,0,,0,0
216,2017,Brazil,BRA,Ecuador,ECU,5,5,0,,0,0
217,2017,Brazil,BRA,Finland,FIN,5,0,0,,0,0
218,2017,Brazil,BRA,France,FRA,12,0,0,,0,0
219,2017,Brazil,BRA,United Kingdom of Great Britain and Northern Ireland,GBR,13,36,0,,0,0
220,2017,Brazil,BRA,Germany,DEU,32,15,0,,0,0
221,2017,Brazil,BRA,Ireland,IRL,0,57,0,,0,0
222,2017,Brazil,BRA,Italy,ITA,100,117,0,,0,0
223,2017,Brazil,BRA,Panama,PAN,0,5,0,,0,0
224,2017,Brazil,BRA,Spain,ESP,0,47,0,,0,0
225,2017,Brazil,BRA,Sweden,SWE,8,15,0,,0,0
226,2017,Brazil,BRA,Switzerland,CHE,14,5,0,,0,0
227,2017,Brazil,BRA,Uruguay,URY,0,5,0,,0,0
228,2017,Brazil,BRA,United States of America,USA,593,6052,0,,0,0
229,2018,Brazil,BRA,Argentina,ARG,0,10,0,,0,0
230,2018,Brazil,BRA,Australia,AUS,5,54,0,,0,0
231,2018,Brazil,BRA,Belgium,BEL,0,20,0,,0,0
232,2018,Brazil,BRA,Canada,CAN,75,392,0,,0,0
233,2018,Brazil,BRA,Chile,CHL,0,5,0,,0,0
234,2018,Brazil,BRA,Costa Rica,CRI,0,5,0,,0,0
235,2018,Brazil,BRA,Ecuador,ECU,5,10,0,,0,0
236,2018,Brazil,BRA,Finland,FIN,5,5,0,,0,0
237,2018,Brazil,BRA,France,FRA,15,0,0,,0,0
238,2018,Brazil,BRA,United Kingdom of Great Britain and Northern Ireland,GBR,16,62,0,,0,0
239,2018,Brazil,BRA,Germany,DEU,32,30,0,,0,0
240,2018,Brazil,BRA,Greece,GRC,0,10,0,,0,0
241,2018,Brazil,BRA,Ireland,IRL,0,146,0,,0,0
242,2018,Brazil,BRA,Israel,ISR,0,5,0,,0,0
243,2018,Brazil,BRA,Italy,ITA,149,203,0,,0,0
244,2018,Brazil,BRA,Rep. of Korea,KOR,0,5,0,,0,0
245,2018,Brazil,BRA,Panama,PAN,0,5,0,,0,0
246,2018,Brazil,BRA,Peru,PER,5,5,0,,0,0
247,2018,Brazil,BRA,Portugal,PRT,0,5,0,,0,0
248,2018,Brazil,BRA,Spain,ESP,0,185,0,,0,0
249,2018,Brazil,BRA,Sweden,SWE,8,20,0,,0,0
250,2018,Brazil,BRA,Switzerland,CHE,14,5,0,,0,0
251,2018,Brazil,BRA,Uruguay,URY,0,10,0,,0,0
252,2018,Brazil,BRA,United States of America,USA,709,7378,0,,0,0
253,2019,Brazil,BRA,Argentina,ARG,0,5,0,,0,0
