,index,Unnamed: 0,ISO3,Name,Year,Start Date,Event Name,Hazard Category,Hazard Type,New Displacements,
72,800,801,BRA,Brazil,2019,11/23/19,Brazil: Floods - Rio de Janeiro - 23/11/2019,Weather related,Flood,221,RJ
73,801,802,BRA,Brazil,2019,1/1/19,Brazil: Floods - Rondonia (7 Municipalities) - 1 Jan - 30 June,Weather related,Flood,611,RO
74,802,803,BRA,Brazil,2019,7/12/19,Brazil: Floods - Bahia (01/07/2019),Weather related,Flood,3305,BA
75,803,804,BRA,Brazil,2019,3/1/19,Brazil: Floods - Maranh├úo (48 Municipalities) - (1 Mar - 30 Jun),Weather related,Flood,30960,MA
76,804,805,BRA,Brazil,2019,9/1/19,Brazil: Floods (Acre) - 01/09/2019,Weather related,Flood,187,AC
77,805,806,BRA,Brazil,2019,1/1/19,Brazil: Floods - Sao Paulo (26 Municipalities) - 1 Jan - 30 June,Weather related,Flood,35746,SP
78,806,807,BRA,Brazil,2019,9/1/19,Brazil: Pre-emptive evacuation - Brazil - 01/09/2019,Weather related,Flood,1419,
79,807,808,BRA,Brazil,2019,11/11/19,Brazil: Costal Erosion - Espirito Santo - 11/11/2019,Weather related,Wet mass movement,2,ES
80,808,809,BRA,Brazil,2019,1/1/19,Brazil: Floods - Rio Grande do Sul (31 Municipalities) - 1 Jan - 30 June,Weather related,Flood,9736,RN
81,809,810,BRA,Brazil,2019,8/27/19,Brazil: Floods - Par├í -27/08/2019,Weather related,Flood,121,PA
82,810,811,BRA,Brazil,2019,1/1/19,"Brazil: Floods - Piaui (Luzil├óndia, Juazeiro do Piau├¡, Lu├¡s Correia, Parna├¡ba  and Teresina) - 1 Jan - 30 June",Weather related,Flood,32621,PI
83,811,812,BRA,Brazil,2019,10/1/19,Brazil: Coastal Erosion - Cear├í - 01/20/2019,Weather related,Wet mass movement,40,CE
84,812,813,BRA,Brazil,2019,1/1/19,Brazil: Floods - Parana  (Guaraque├ºaba  and Rio Bom) - 1 Jan - 30 June,Weather related,Flood,71,PR
85,813,814,BRA,Brazil,2019,7/15/19,Brazil: Floods - Sergipe - 15/07/2019,Weather related,Flood,78,SE
86,814,815,BRA,Brazil,2019,1/1/19,"Brazil: Floods - Mato Grosso (Aripuan├ú,  Barra do Bugres, Dom Aquino, Juscimeira, Vila Rica) - 1Jan - 30 June",Weather related,Flood,206,MT
87,815,816,BRA,Brazil,2019,1/1/19,Brazil: Drought - Para├¡ba (├ügua Branca) - 1 Jan - 30 June,Weather related,Drought,5388,PB
88,816,817,BRA,Brazil,2019,12/12/19,Brazil: Floods - Pernambuco - 12/12/2019,Weather related,Flood,104,PE
89,817,818,BRA,Brazil,2019,1/1/19,Brazil: Drought -  Alagoas (Traipu) - (1 Jan - 28 Feb),Weather related,Drought,38,AL
90,818,819,BRA,Brazil,2019,1/1/19,Brazil: Floods -  Acre (Cruzeiro do Sul) - (1Jan - 28 Feb),Weather related,Flood,3482,AC
91,819,820,BRA,Brazil,2019,12/20/19,Brazil: Landslides - Minas Gerais - 20/12/2019,Weather related,Wet mass movement,32,MG
92,820,821,BRA,Brazil,2019,1/1/19,Brazil: Storm- Mato Grosso do Sul (Bela Vista) - 1 Jan - 30 June,Weather related,Storm,4,MS
93,821,822,BRA,Brazil,2019,1/1/19,Brazil: Floods - Minas Gerais (Santos Dumont) -  (01 Jan - 28 Feb),Weather related,Flood,1245,MG
94,822,823,BRA,Brazil,2019,7/29/19,Brazil: Storms - Rio Grande do Sul - 29/07/2019,Weather related,Storm,2427,RS
95,823,824,BRA,Brazil,2019,5/1/19,Brazil: Floods - Vila Velha (Espirito Santo) - 01/05/2019,Weather related,Flood,484,ES
96,824,825,BRA,Brazil,2019,11/13/19,Brazil: Floods - Espirito Santo (5 municipalities) - 13/11/2019,Weather related,Flood,95,ES
97,825,826,BRA,Brazil,2019,1/1/19,Brazil: Storm- Parana  (Figueira) - 1 Jan - 30 June,Weather related,Storm,80,PR
98,826,827,BRA,Brazil,2019,5/1/19,"Brazil: Floods -Sim├╡es Filho, Lauro de Freitas  (Bahia) - 01/05/2019",Weather related,Flood,1922,BA
99,827,828,BRA,Brazil,2019,8/6/19,Brazil: Floods - Roraima - 06/08/2019,Weather related,Storm,32,RR
100,828,829,BRA,Brazil,2019,1/1/19,Brazil: Floods - Santa Catarina (43 Municipalities) - 1 Jan - 30 June,Weather related,Flood,11933,SC
101,829,830,BRA,Brazil,2019,5/21/19,Brazil: Floods - Morros (Maranhao) - 21/05/2019,Weather related,Flood,450,MA
102,830,831,BRA,Brazil,2019,3/1/19,Brazil: Floods - Amazonas (37 Municipalities) - (01/03/19 - 30/06/19),Weather related,Flood,42711,AM
103,831,832,BRA,Brazil,2019,1/1/19,Brazil: Storm - Bahia (Santa Cruz da Vit├│ria) - (1 Jan - 28 Feb),Weather related,Storm,200,BA
104,832,833,BRA,Brazil,2019,11/26/19,Brazil: Floods and Landslides - Bahia (Salvador) - 26/11/2019,Weather related,Flood,300,BA
105,833,834,BRA,Brazil,2019,1/1/19,Brazil: Flood- Bahia (Vit├│ria da Conquista) - 01/01/2019,Weather related,Flood,200,BA
106,834,835,BRA,Brazil,2019,1/25/19,Brazil: Dam collapse - 25/01/2019,Weather related,Flood,700,
107,835,836,BRA,Brazil,2019,10/14/19,Brazil: Storms - Santa Catarina - 14/10/2019,Weather related,Storm,51,SC
108,836,837,BRA,Brazil,2019,9/20/19,Brazil: Cyclone - Santa Catarina - 20/09/2019,Weather related,Storm,3,SC
109,837,838,BRA,Brazil,2019,7/26/19,Brazil: Landslides - 26/07/2019,Weather related,Wet mass movement,481,
110,838,839,BRA,Brazil,2019,7/17/19,Brazil: Storms - Sergipe - 17/07/2019,Weather related,Storm,56,SE
111,839,840,BRA,Brazil,2019,10/14/19,Brazil: Storms - Mato Grosso - 14/10/2019,Weather related,Storm,21,MT
112,840,841,BRA,Brazil,2019,3/1/19,Brazil: Landslide - Minas Gerais (Monte Belo) - (1 Mar - 30 Jun),Weather related,Wet mass movement,8936,MG
113,841,842,BRA,Brazil,2019,3/1/19,Brazil: Floods - Amap├í (Vit├│ria do Jari) - (1 Mar - 30 Jun),Weather related,Flood,586,AP
114,842,843,BRA,Brazil,2019,1/1/19,Brazil: Landslides -  Acre (Marechal Thaumaturgo) -  01/01/2019,Weather related,Flood,142,AC
115,843,844,BRA,Brazil,2019,12/11/19,Brazil: Landslides - Pernambuco - 11/12/2019,Weather related,Wet mass movement,782,PE
116,844,845,BRA,Brazil,2019,1/1/19,Brazil: Floods - Para (63 Municipalities) - 01/01/2019-30/06/2019,Weather related,Flood,43266,PA
117,845,846,BRA,Brazil,2019,1/1/19,Brazil: Storm - Rio Grabde do Sul (Gentil and Uruguaiana) - 1 Jan - 30 June,Weather related,Storm,39,RS
118,846,847,BRA,Brazil,2019,1/1/19,"Brazil: Storm - Santa Catarina (I├ºara,  Meleiro and Pescaria Brava) - 1 Jan - 30 June",Weather related,Storm,20,SC
119,847,848,BRA,Brazil,2019,7/26/19,Brazil: Coastal Erosion - Santa Catarina - 26/07/2019,Weather related,Wet mass movement,2,SC
120,848,849,BRA,Brazil,2019,7/22/19,Brazil: Floods -  Pernambuco - 22/07/2019,Weather related,Flood,3156,PE
121,849,850,BRA,Brazil,2019,11/16/19,Brazil: Floods and Landslides - Espirito Santo - 16/11/2019,Weather related,Flood,1690,ES
122,850,851,BRA,Brazil,2019,1/1/19,"Brazil: Landslide - Par├í ( Alenquer, ├ôbidos, Parauapebas, Tucuru├¡) - (1Jan - 30 June)",Weather related,Wet mass movement,70,PB
123,851,852,BRA,Brazil,2019,8/6/19,Brazil: Drought - 06/08/2019,Weather related,Drought,160,
124,852,853,BRA,Brazil,2019,7/26/18,Brazil: Storms - Pernambuco - 26/07/2019,Weather related,Storm,573,PE
125,853,854,BRA,Brazil,2019,1/1/19,Brazil: Storm-  Para  (Curralinho and Xinguara) - 1 Jan - 30 June,Weather related,Storm,19,PA
126,854,855,BRA,Brazil,2019,7/4/19,Brazil: Storms - Maranh├úo - 04/07/2019,Weather related,Storm,78,MA
127,855,856,BRA,Brazil,2019,11/19/19,Brazil: Storms - Rio de Janeiro - 19/11/2019,Weather related,Storm,379,RJ
128,856,857,BRA,Brazil,2019,1/1/19,Brazil: Floods - Amazonas (7 Municipalities) - (01 Jan- 28 Feb),Weather related,Flood,4634,AM
129,857,858,BRA,Brazil,2019,10/27/19,Brazil: Storms - Minas Gerais - 27/10/2019,Weather related,Storm,3372,MG
130,858,859,BRA,Brazil,2019,1/1/19,Brazil: Floods - Rio de Janeiro (15 Municipalities) - 1 Jan - 30 June,Weather related,Flood,8063,RJ
131,859,860,BRA,Brazil,2019,6/13/19,Brazil: Floods - Pernamburo - 17/06/2019,Weather related,Flood,50,PE
132,860,861,BRA,Brazil,2019,11/14/19,Brazil: Landslides - Espirito Santo - 14/11/2019,Weather related,Wet mass movement,385,ES
133,861,862,BRA,Brazil,2019,1/1/19,Brazil: Landslide - Amazonas ( S├úo Paulo de Oliven├ºa) - - (01 Jan- 28 Feb),Geophysical,Dry mass movement,80,AM
134,862,863,BRA,Brazil,2019,1/1/19,"Brazil: Floods - Mato Grosso do Sul (Parana├¡ba, Bela Vista, Caracol, Coronel Sapucaia, Itapor├ú, Mundo Novo and Porto Murtinho) - 1Jan - 30 June",Weather related,Flood,222,MS
135,863,864,BRA,Brazil,2019,3/1/19,Brazil: Drought -  Alagoas (Traipu) - (1 Mar - 30 Jun),Weather related,Drought,32,AL
136,864,865,BRA,Brazil,2019,1/1/19,"Brazil: Landslides - Santa Catarina (Doutor Pedrinho, Luis Alves) - 1Jan - 30 June",Weather related,Wet mass movement,11,SC
137,865,866,BRA,Brazil,2019,1/1/19,Brazil: Landslides - Sergipe (Aracaju) - 1Jan - 30 June,Weather related,Wet mass movement,36,SE
138,866,867,BRA,Brazil,2019,11/8/19,Brazil: Floods - Rio Grande do Sul - 08/11/2019,Weather related,Flood,172,RS
139,867,868,BRA,Brazil,2019,1/1/19,Brazil: Landslides - Sao Paulo (Rio Grande da Serra) - 1Jan - 30 June,Weather related,Wet mass movement,10,SP
140,868,869,BRA,Brazil,2019,8/23/19,Brazil: Storms - Par├í - 23/08/2019,Weather related,Storm,123,PB
141,869,870,BRA,Brazil,2019,1/1/19,"Brazil: Storm-  Rio de Janeiro  (Bom Jesus do Itabapoana, Cantagalo and Valen├ºa) - 1 Jan - 30 June",Weather related,Storm,39,RJ
142,870,871,BRA,Brazil,2019,3/1/19,Brazil: Floods - Esp├¡rito Santo (8 Municipalities) - (1 Mar - 30 Jun),Weather related,Flood,591,ES
143,871,872,BRA,Brazil,2019,10/27/19,Brazil: Floods - Minas Gerais -27/10/2019,Weather related,Flood,231,MG
144,872,873,BRA,Brazil,2019,3/1/19,Brazil: Floods - Minas Gerais (6 Municipalities) - (1 Mar - 30 Jun),Weather related,Flood,10,MG
145,873,874,BRA,Brazil,2019,12/29/19,Brazil: Floods - Par├í - 29/12/2019,Weather related,Flood,3,PB
146,874,875,BRA,Brazil,2019,1/1/19,Brazil: Floods - Cear├í - 01/01/2019,Weather related,Flood,9,CE
147,875,876,BRA,Brazil,2019,8/22/19,Brazil: Storms - Minas Gerais - 22/08/2019,Weather related,Storm,24,MG
